# TRAINING ITERATION,           G_LOSS,           D_LOSS,         MSE_LOSS,     JACCARD_LOSS
                 151,         -2.68724,        -22.30140,          0.14289,          0.94972
                 152,         -2.55446,        -32.09267,          0.14180,          0.95027
                 153,         -2.31040,        -52.61483,          0.13932,          0.95593
                 154,         -2.40355,        -55.94565,          0.14367,          0.95485
                 155,         -2.68821,        -70.27508,          0.13808,          0.95210
                 156,         -2.60165,        -74.48503,          0.14347,          0.94932
                 157,         -2.52320,        -43.06776,          0.14313,          0.95216
                 158,         -2.41099,        -42.41868,          0.14929,          0.95067
                 159,         -2.46601,        -27.93752,          0.14353,          0.95292
                 160,         -2.67887,        -72.39325,          0.14596,          0.95632
                 161,         -2.52598,        -71.96681,          0.14335,          0.95664
                 162,         -2.52236,       -124.65127,          0.14721,          0.94758
                 163,         -2.45181,        -36.11224,          0.14191,          0.95198
                 164,         -2.43972,        -40.53720,          0.14086,          0.95493
                 165,         -2.32548,        -90.51977,          0.14720,          0.94130
                 166,         -2.26027,        -20.69764,          0.14596,          0.95404
                 167,         -2.45699,        -52.55849,          0.13819,          0.95702
                 168,         -2.39865,        -63.66220,          0.14607,          0.94692
                 169,         -2.39515,        -73.46568,          0.13908,          0.95898
                 170,         -2.48810,        -49.10403,          0.14593,          0.95186
                 171,         -2.40353,        -60.72532,          0.14160,          0.95691
                 172,         -2.46455,        -24.22423,          0.15086,          0.95069
                 173,         -2.44736,        -49.18296,          0.14485,          0.95566
                 174,         -2.35366,        -56.76794,          0.14318,          0.95110
                 175,         -2.23584,        -45.37848,          0.14979,          0.94374
                 176,         -2.55363,        -54.07601,          0.14313,          0.95781
                 177,         -2.57820,        -76.37823,          0.14128,          0.95664
                 178,         -2.39434,        -23.29362,          0.13823,          0.95868
                 179,         -2.39400,        -39.35219,          0.14937,          0.94839
                 180,         -2.49081,        -86.47910,          0.14109,          0.95616
                 181,         -2.36480,        -30.53201,          0.14239,          0.94905
                 182,         -2.51253,        -30.33102,          0.14314,          0.95118
                 183,         -2.25074,        -44.50815,          0.14374,          0.95117
                 184,         -2.33996,        -68.03998,          0.15012,          0.95380
                 185,         -2.50521,        -80.83924,          0.14386,          0.95171
                 186,         -2.42952,        -25.68777,          0.13939,          0.95588
                 187,         -2.52394,        -67.41879,          0.14341,          0.95224
                 188,         -2.57349,        -38.40586,          0.14280,          0.95664
                 189,         -2.46851,        -42.51713,          0.14698,          0.94966
                 190,         -2.42715,        -67.06001,          0.14584,          0.95331
                 191,         -2.37395,        -22.13808,          0.15103,          0.95284
                 192,         -2.18033,        -93.29495,          0.15315,          0.94933
                 193,         -2.25803,        -55.98106,          0.15656,          0.95006
                 194,         -2.32756,        -38.30862,          0.14940,          0.95344
                 195,         -2.53340,        -98.78685,          0.14765,          0.95113
                 196,         -2.22051,        -41.66018,          0.15302,          0.94804
                 197,         -2.30835,        -32.08145,          0.15552,          0.94348
                 198,         -2.35731,        -53.64430,          0.14644,          0.95653
                 199,         -2.44921,        -29.79409,          0.14507,          0.95406
                 200,         -2.22318,        -32.21329,          0.15464,          0.94509
                 201,         -2.45848,        -34.97563,          0.15193,          0.94564
                 202,         -2.36498,        -26.31075,          0.15188,          0.95657
                 203,         -2.37084,        -33.31772,          0.15382,          0.95096
                 204,         -2.37660,        -30.07347,          0.15485,          0.94873
                 205,         -2.39048,        -34.86332,          0.15174,          0.95684
                 206,         -2.21481,        -24.00845,          0.15386,          0.95120
                 207,         -2.46059,        -65.55320,          0.14523,          0.95733
                 208,         -2.42819,        -36.49208,          0.14368,          0.96033
                 209,         -2.43807,        -46.76195,          0.14305,          0.95497
                 210,         -2.28927,        -28.02139,          0.14714,          0.95142
                 211,         -2.57241,       -101.78276,          0.14544,          0.95620
                 212,         -2.47281,        -20.61149,          0.14780,          0.95163
                 213,         -2.42732,        -21.73063,          0.15487,          0.94836
                 214,         -2.39996,        -28.37929,          0.14540,          0.95060
                 215,         -2.45292,        -35.11316,          0.14367,          0.95857
                 216,         -2.31875,        -26.85189,          0.14902,          0.94877
                 217,         -2.48663,        -64.76569,          0.15323,          0.93863
                 218,         -2.32030,        -34.30237,          0.15331,          0.94608
                 219,         -2.46380,        -39.97552,          0.14426,          0.95618
                 220,         -2.36177,        -40.99302,          0.14759,          0.94759
                 221,         -2.34589,        -24.10140,          0.14739,          0.95359
                 222,         -2.43413,        -37.78296,          0.15102,          0.94562
                 223,         -2.43764,        -37.53241,          0.15163,          0.94803
                 224,         -2.43288,        -60.75595,          0.14985,          0.95481
                 225,         -2.29915,        -31.30574,          0.14521,          0.95162
                 226,         -2.36989,        -23.51886,          0.14831,          0.95187
