# TRAINING ITERATION,           G_LOSS,           D_LOSS,         MSE_LOSS,     JACCARD_LOSS
                 164,         -1.64966,         -5.30405,          0.12186,          1.00000
                 165,         -1.50061,         -7.80674,          0.10957,          0.96875
                 166,         -1.40708,         -7.92232,          0.11452,          1.00000
                 167,         -1.47872,         -3.52528,          0.12053,          1.00000
                 168,         -1.49526,         -4.96119,          0.10848,          1.00000
                 169,         -1.31124,         -4.44879,          0.11603,          1.00000
                 170,         -1.47683,         -3.23617,          0.11064,          0.96875
                 171,         -1.57726,         -5.71479,          0.10510,          1.00000
                 172,         -1.48265,         -3.63215,          0.11399,          0.96875
                 173,         -1.48318,         -3.59113,          0.10650,          1.00000
                 174,         -1.58803,         -4.91636,          0.10749,          1.00000
                 175,         -1.47095,         -7.84166,          0.11134,          1.00000
                 176,         -1.41021,         -3.57471,          0.10147,          1.00000
                 177,         -1.51905,         -4.53189,          0.10523,          1.00000
                 178,         -1.54149,         -9.41188,          0.09770,          0.96875
                 179,         -1.52266,         -9.19845,          0.09573,          0.96875
                 180,         -1.53445,         -7.58499,          0.10707,          0.96875
                 181,         -1.45220,         -5.42166,          0.09685,          0.93750
                 182,         -1.32754,         -6.90835,          0.10557,          1.00000
                 183,         -1.40116,         -3.91637,          0.10510,          0.93750
                 184,         -1.57372,         -2.97602,          0.10530,          1.00000
                 185,         -1.42364,         -3.35155,          0.11340,          1.00000
                 186,         -1.41709,         -3.47067,          0.10270,          0.93750
                 187,         -1.40231,         -4.86438,          0.10215,          1.00000
                 188,         -1.61856,         -4.19477,          0.10577,          0.93750
                 189,         -1.40031,         -3.94550,          0.10201,          1.00000
                 190,         -1.58548,         -3.64210,          0.10829,          1.00000
                 191,         -1.43043,         -4.54763,          0.09761,          0.96875
                 192,         -1.29851,         -7.20198,          0.10218,          1.00000
                 193,         -1.45065,         -4.98641,          0.10253,          1.00000
                 194,         -1.68239,         -4.74964,          0.10913,          1.00000
                 195,         -1.48067,         -7.13688,          0.10740,          1.00000
                 196,         -1.21786,         -5.93393,          0.10023,          0.96875
                 197,         -1.29306,         -3.57157,          0.10778,          0.99932
                 198,         -1.39535,         -2.29915,          0.09479,          0.96865
                 199,         -1.59719,         -3.11200,          0.10092,          0.96875
                 200,         -1.53371,         -3.67968,          0.09748,          0.99975
                 201,         -1.35438,         -2.94717,          0.09691,          1.00000
                 202,         -1.37428,         -7.03476,          0.10265,          0.93750
                 203,         -1.39774,         -7.09110,          0.10936,          0.99947
                 204,         -1.42821,         -5.27412,          0.10082,          1.00000
                 205,         -1.40054,         -4.46714,          0.10346,          0.99840
                 206,         -1.34197,         -4.04602,          0.10109,          0.99980
                 207,         -1.24332,         -5.74147,          0.10502,          0.99899
                 208,         -1.25910,         -2.57233,          0.09279,          0.99907
                 209,         -1.26713,         -6.70227,          0.09383,          0.99869
                 210,         -1.52010,         -4.91734,          0.10844,          0.99889
                 211,         -1.44587,         -4.37901,          0.10458,          0.99908
                 212,         -1.50530,         -3.08172,          0.10067,          0.99821
                 213,         -1.67600,         -4.60119,          0.10705,          0.99735
                 214,         -1.44660,         -5.45932,          0.09692,          0.99903
                 215,         -1.40721,         -7.65439,          0.10838,          0.99752
                 216,         -1.36883,         -3.24488,          0.10321,          0.99897
                 217,         -1.56257,         -3.91148,          0.09887,          0.99603
                 218,         -1.39254,         -3.32123,          0.10346,          0.99808
                 219,         -1.52527,         -2.76197,          0.10162,          0.99737
                 220,         -1.19830,         -4.12173,          0.09983,          0.99717
                 221,         -1.53695,         -2.88284,          0.10350,          0.99823
                 222,         -1.26772,         -2.53561,          0.10450,          0.99902
                 223,         -1.54158,         -4.89949,          0.10023,          0.99764
