Example Object couldnt be generated with Marching Cube Algorithm. Probable Reason: Empty Input Tensor, All Zeros
----------------------------------------------------------------------
RUN TRAINING:

E:   1/10000 | B:  53/625 | I:    53 | T: 117.0 | dt: 1.77 || LOSSES: BCE 0.0763 | MSE 0.0197 | JACCARD 0.9901 | 
E:   1/10000 | B:  54/625 | I:    54 | T: 118.7 | dt: 1.76 || LOSSES: BCE 0.0758 | MSE 0.0199 | JACCARD 1.0000 | 
E:   1/10000 | B:  55/625 | I:    55 | T: 120.5 | dt: 1.77 || LOSSES: BCE 0.0740 | MSE 0.0194 | JACCARD 0.9836 | 
E:   1/10000 | B:  56/625 | I:    56 | T: 122.3 | dt: 1.77 || LOSSES: BCE 0.0759 | MSE 0.0198 | JACCARD 1.0000 | 
E:   1/10000 | B:  57/625 | I:    57 | T: 124.0 | dt: 1.76 || LOSSES: BCE 0.0764 | MSE 0.0200 | JACCARD 0.9868 | 
E:   1/10000 | B:  58/625 | I:    58 | T: 125.8 | dt: 1.76 || LOSSES: BCE 0.0725 | MSE 0.0187 | JACCARD 0.9967 | 
E:   1/10000 | B:  59/625 | I:    59 | T: 127.5 | dt: 1.76 || LOSSES: BCE 0.0759 | MSE 0.0198 | JACCARD 0.9934 | 
E:   1/10000 | B:  60/625 | I:    60 | T: 129.3 | dt: 1.77 || LOSSES: BCE 0.0764 | MSE 0.0202 | JACCARD 0.9934 | 
E:   1/10000 | B:  61/625 | I:    61 | T: 131.1 | dt: 1.76 || LOSSES: BCE 0.0694 | MSE 0.0179 | JACCARD 0.9967 | 
E:   1/10000 | B:  62/625 | I:    62 | T: 132.8 | dt: 1.77 || LOSSES: BCE 0.0699 | MSE 0.0182 | JACCARD 0.9836 | 
E:   1/10000 | B:  63/625 | I:    63 | T: 134.6 | dt: 1.77 || LOSSES: BCE 0.0672 | MSE 0.0171 | JACCARD 0.9474 | 
E:   1/10000 | B:  64/625 | I:    64 | T: 136.4 | dt: 1.77 || LOSSES: BCE 0.0691 | MSE 0.0178 | JACCARD 0.9737 | 
E:   1/10000 | B:  65/625 | I:    65 | T: 138.2 | dt: 1.76 || LOSSES: BCE 0.0694 | MSE 0.0183 | JACCARD 0.9934 | 
E:   1/10000 | B:  66/625 | I:    66 | T: 139.9 | dt: 1.77 || LOSSES: BCE 0.0790 | MSE 0.0213 | JACCARD 0.9967 | 
E:   1/10000 | B:  67/625 | I:    67 | T: 141.7 | dt: 1.77 || LOSSES: BCE 0.0653 | MSE 0.0170 | JACCARD 0.9868 | 
E:   1/10000 | B:  68/625 | I:    68 | T: 143.5 | dt: 1.77 || LOSSES: BCE 0.0706 | MSE 0.0186 | JACCARD 0.9901 | 
E:   1/10000 | B:  69/625 | I:    69 | T: 145.2 | dt: 1.77 || LOSSES: BCE 0.0706 | MSE 0.0185 | JACCARD 0.9967 | 
E:   1/10000 | B:  70/625 | I:    70 | T: 147.0 | dt: 1.76 || LOSSES: BCE 0.0645 | MSE 0.0168 | JACCARD 0.9836 | 
E:   1/10000 | B:  71/625 | I:    71 | T: 148.8 | dt: 1.78 || LOSSES: BCE 0.0702 | MSE 0.0185 | JACCARD 0.9967 | 
E:   1/10000 | B:  72/625 | I:    72 | T: 150.6 | dt: 1.77 || LOSSES: BCE 0.0697 | MSE 0.0182 | JACCARD 0.9967 | 
E:   1/10000 | B:  73/625 | I:    73 | T: 152.3 | dt: 1.78 || LOSSES: BCE 0.0748 | MSE 0.0195 | JACCARD 1.0000 | 
E:   1/10000 | B:  74/625 | I:    74 | T: 154.1 | dt: 1.77 || LOSSES: BCE 0.0668 | MSE 0.0173 | JACCARD 0.9836 | 
E:   1/10000 | B:  75/625 | I:    75 | T: 155.9 | dt: 1.77 || LOSSES: BCE 0.0690 | MSE 0.0178 | JACCARD 0.9572 | 
E:   1/10000 | B:  76/625 | I:    76 | T: 157.7 | dt: 1.79 || LOSSES: BCE 0.0729 | MSE 0.0190 | JACCARD 1.0000 | 
E:   1/10000 | B:  77/625 | I:    77 | T: 159.5 | dt: 1.79 || LOSSES: BCE 0.0743 | MSE 0.0196 | JACCARD 1.0000 | 
E:   1/10000 | B:  78/625 | I:    78 | T: 161.2 | dt: 1.78 || LOSSES: BCE 0.0718 | MSE 0.0190 | JACCARD 1.0000 | 
E:   1/10000 | B:  79/625 | I:    79 | T: 163.0 | dt: 1.78 || LOSSES: BCE 0.0718 | MSE 0.0185 | JACCARD 0.9572 | 
E:   1/10000 | B:  80/625 | I:    80 | T: 164.8 | dt: 1.78 || LOSSES: BCE 0.0746 | MSE 0.0194 | JACCARD 0.9638 | 
E:   1/10000 | B:  81/625 | I:    81 | T: 166.6 | dt: 1.78 || LOSSES: BCE 0.0643 | MSE 0.0166 | JACCARD 1.0000 | 
E:   1/10000 | B:  82/625 | I:    82 | T: 168.4 | dt: 1.77 || LOSSES: BCE 0.0818 | MSE 0.0219 | JACCARD 1.0000 | 
E:   1/10000 | B:  83/625 | I:    83 | T: 170.1 | dt: 1.78 || LOSSES: BCE 0.0695 | MSE 0.0181 | JACCARD 1.0000 | 
E:   1/10000 | B:  84/625 | I:    84 | T: 172.0 | dt: 1.80 || LOSSES: BCE 0.0599 | MSE 0.0154 | JACCARD 0.9539 | 
E:   1/10000 | B:  85/625 | I:    85 | T: 173.8 | dt: 1.81 || LOSSES: BCE 0.0588 | MSE 0.0152 | JACCARD 0.9836 | 
E:   1/10000 | B:  86/625 | I:    86 | T: 175.6 | dt: 1.82 || LOSSES: BCE 0.0697 | MSE 0.0187 | JACCARD 0.9967 | 
E:   1/10000 | B:  87/625 | I:    87 | T: 177.4 | dt: 1.79 || LOSSES: BCE 0.0562 | MSE 0.0145 | JACCARD 0.9868 | 
E:   1/10000 | B:  88/625 | I:    88 | T: 179.2 | dt: 1.79 || LOSSES: BCE 0.0670 | MSE 0.0177 | JACCARD 0.9967 | 
E:   1/10000 | B:  89/625 | I:    89 | T: 181.0 | dt: 1.79 || LOSSES: BCE 0.0571 | MSE 0.0148 | JACCARD 0.9737 | 
E:   1/10000 | B:  90/625 | I:    90 | T: 182.8 | dt: 1.84 || LOSSES: BCE 0.0607 | MSE 0.0159 | JACCARD 1.0000 | 
E:   1/10000 | B:  91/625 | I:    91 | T: 184.6 | dt: 1.81 || LOSSES: BCE 0.0724 | MSE 0.0193 | JACCARD 1.0000 | 
E:   1/10000 | B:  92/625 | I:    92 | T: 186.4 | dt: 1.79 || LOSSES: BCE 0.0658 | MSE 0.0173 | JACCARD 0.9868 | 
E:   1/10000 | B:  93/625 | I:    93 | T: 188.2 | dt: 1.77 || LOSSES: BCE 0.0728 | MSE 0.0193 | JACCARD 0.9836 | 
E:   1/10000 | B:  94/625 | I:    94 | T: 190.0 | dt: 1.78 || LOSSES: BCE 0.0679 | MSE 0.0174 | JACCARD 1.0000 | 
E:   1/10000 | B:  95/625 | I:    95 | T: 191.8 | dt: 1.81 || LOSSES: BCE 0.0631 | MSE 0.0162 | JACCARD 0.9474 | 
E:   1/10000 | B:  96/625 | I:    96 | T: 193.6 | dt: 1.84 || LOSSES: BCE 0.0621 | MSE 0.0161 | JACCARD 0.9803 | 
E:   1/10000 | B:  97/625 | I:    97 | T: 195.4 | dt: 1.84 || LOSSES: BCE 0.0633 | MSE 0.0162 | JACCARD 0.9572 | 
E:   1/10000 | B:  98/625 | I:    98 | T: 197.2 | dt: 1.81 || LOSSES: BCE 0.0666 | MSE 0.0173 | JACCARD 0.9901 | 
E:   1/10000 | B:  99/625 | I:    99 | T: 199.1 | dt: 1.84 || LOSSES: BCE 0.0598 | MSE 0.0154 | JACCARD 1.0000 | 
E:   1/10000 | B: 100/625 | I:   100 | T: 200.9 | dt: 1.82 || LOSSES: BCE 0.0684 | MSE 0.0177 | JACCARD 0.9934 | 
E:   1/10000 | B: 101/625 | I:   101 | T: 202.8 | dt: 1.87 || LOSSES: BCE 0.0600 | MSE 0.0154 | JACCARD 0.9836 | 
E:   1/10000 | B: 102/625 | I:   102 | T: 204.6 | dt: 1.84 || LOSSES: BCE 0.0746 | MSE 0.0197 | JACCARD 0.9967 | 
E:   1/10000 | B: 103/625 | I:   103 | T: 206.4 | dt: 1.82 || LOSSES: BCE 0.0651 | MSE 0.0167 | JACCARD 0.9836 | 
E:   1/10000 | B: 104/625 | I:   104 | T: 208.2 | dt: 1.80 || LOSSES: BCE 0.0643 | MSE 0.0170 | JACCARD 0.9967 | 
E:   1/10000 | B: 105/625 | I:   105 | T: 210.1 | dt: 1.82 || LOSSES: BCE 0.0705 | MSE 0.0185 | JACCARD 0.9901 | 
E:   1/10000 | B: 106/625 | I:   106 | T: 211.9 | dt: 1.82 || LOSSES: BCE 0.0637 | MSE 0.0166 | JACCARD 0.9901 | 
E:   1/10000 | B: 107/625 | I:   107 | T: 213.8 | dt: 1.87 || LOSSES: BCE 0.0613 | MSE 0.0159 | JACCARD 0.9868 | 
E:   1/10000 | B: 108/625 | I:   108 | T: 215.7 | dt: 1.89 || LOSSES: BCE 0.0686 | MSE 0.0184 | JACCARD 0.9967 | 
E:   1/10000 | B: 109/625 | I:   109 | T: 217.5 | dt: 1.85 || LOSSES: BCE 0.0619 | MSE 0.0161 | JACCARD 1.0000 | 
E:   1/10000 | B: 110/625 | I:   110 | T: 219.4 | dt: 1.87 || LOSSES: BCE 0.0603 | MSE 0.0156 | JACCARD 0.9868 | 
E:   1/10000 | B: 111/625 | I:   111 | T: 221.2 | dt: 1.85 || LOSSES: BCE 0.0614 | MSE 0.0160 | JACCARD 0.9934 | 
E:   1/10000 | B: 112/625 | I:   112 | T: 223.1 | dt: 1.86 || LOSSES: BCE 0.0629 | MSE 0.0164 | JACCARD 1.0000 | 
E:   1/10000 | B: 113/625 | I:   113 | T: 225.0 | dt: 1.85 || LOSSES: BCE 0.0664 | MSE 0.0175 | JACCARD 1.0000 | 
E:   1/10000 | B: 114/625 | I:   114 | T: 226.8 | dt: 1.84 || LOSSES: BCE 0.0583 | MSE 0.0149 | JACCARD 0.9638 | 
E:   1/10000 | B: 115/625 | I:   115 | T: 228.7 | dt: 1.85 || LOSSES: BCE 0.0638 | MSE 0.0163 | JACCARD 0.9868 | 
E:   1/10000 | B: 116/625 | I:   116 | T: 230.5 | dt: 1.83 || LOSSES: BCE 0.0590 | MSE 0.0155 | JACCARD 0.9967 | 
E:   1/10000 | B: 117/625 | I:   117 | T: 232.4 | dt: 1.87 || LOSSES: BCE 0.0611 | MSE 0.0155 | JACCARD 0.9803 | 
E:   1/10000 | B: 118/625 | I:   118 | T: 234.2 | dt: 1.84 || LOSSES: BCE 0.0570 | MSE 0.0147 | JACCARD 0.9868 | 
E:   1/10000 | B: 119/625 | I:   119 | T: 236.0 | dt: 1.81 || LOSSES: BCE 0.0651 | MSE 0.0174 | JACCARD 1.0000 | 
E:   1/10000 | B: 120/625 | I:   120 | T: 237.9 | dt: 1.86 || LOSSES: BCE 0.0541 | MSE 0.0138 | JACCARD 0.9507 | 
E:   1/10000 | B: 121/625 | I:   121 | T: 239.7 | dt: 1.86 || LOSSES: BCE 0.0649 | MSE 0.0171 | JACCARD 1.0000 | 
E:   1/10000 | B: 122/625 | I:   122 | T: 241.6 | dt: 1.85 || LOSSES: BCE 0.0693 | MSE 0.0180 | JACCARD 0.9967 | 
E:   1/10000 | B: 123/625 | I:   123 | T: 243.4 | dt: 1.83 || LOSSES: BCE 0.0581 | MSE 0.0149 | JACCARD 0.9967 | 
E:   1/10000 | B: 124/625 | I:   124 | T: 245.2 | dt: 1.81 || LOSSES: BCE 0.0642 | MSE 0.0166 | JACCARD 1.0000 | 
E:   1/10000 | B: 125/625 | I:   125 | T: 247.1 | dt: 1.87 || LOSSES: BCE 0.0630 | MSE 0.0165 | JACCARD 0.9638 | 
E:   1/10000 | B: 126/625 | I:   126 | T: 249.0 | dt: 1.85 || LOSSES: BCE 0.0615 | MSE 0.0158 | JACCARD 0.9967 | 
E:   1/10000 | B: 127/625 | I:   127 | T: 250.8 | dt: 1.86 || LOSSES: BCE 0.0663 | MSE 0.0176 | JACCARD 1.0000 | 
E:   1/10000 | B: 128/625 | I:   128 | T: 252.7 | dt: 1.87 || LOSSES: BCE 0.0597 | MSE 0.0152 | JACCARD 1.0000 | 
E:   1/10000 | B: 129/625 | I:   129 | T: 254.6 | dt: 1.86 || LOSSES: BCE 0.0594 | MSE 0.0153 | JACCARD 0.9770 | 
E:   1/10000 | B: 130/625 | I:   130 | T: 256.4 | dt: 1.84 || LOSSES: BCE 0.0619 | MSE 0.0162 | JACCARD 0.9901 | 
E:   1/10000 | B: 131/625 | I:   131 | T: 258.3 | dt: 1.86 || LOSSES: BCE 0.0618 | MSE 0.0157 | JACCARD 0.9441 | 
E:   1/10000 | B: 132/625 | I:   132 | T: 260.1 | dt: 1.83 || LOSSES: BCE 0.0667 | MSE 0.0174 | JACCARD 1.0000 | 
E:   1/10000 | B: 133/625 | I:   133 | T: 262.0 | dt: 1.87 || LOSSES: BCE 0.0588 | MSE 0.0152 | JACCARD 0.9901 | 
E:   1/10000 | B: 134/625 | I:   134 | T: 263.8 | dt: 1.82 || LOSSES: BCE 0.0628 | MSE 0.0164 | JACCARD 0.9967 | 
E:   1/10000 | B: 135/625 | I:   135 | T: 265.6 | dt: 1.79 || LOSSES: BCE 0.0597 | MSE 0.0152 | JACCARD 0.9836 | 
E:   1/10000 | B: 136/625 | I:   136 | T: 267.4 | dt: 1.87 || LOSSES: BCE 0.0705 | MSE 0.0184 | JACCARD 0.9901 | 
E:   1/10000 | B: 137/625 | I:   137 | T: 269.3 | dt: 1.82 || LOSSES: BCE 0.0596 | MSE 0.0155 | JACCARD 0.9901 | 
E:   1/10000 | B: 138/625 | I:   138 | T: 271.1 | dt: 1.80 || LOSSES: BCE 0.0607 | MSE 0.0161 | JACCARD 1.0000 | 
E:   1/10000 | B: 139/625 | I:   139 | T: 272.9 | dt: 1.82 || LOSSES: BCE 0.0582 | MSE 0.0151 | JACCARD 1.0000 | 
E:   1/10000 | B: 140/625 | I:   140 | T: 274.7 | dt: 1.82 || LOSSES: BCE 0.0568 | MSE 0.0144 | JACCARD 0.9638 | 
E:   1/10000 | B: 141/625 | I:   141 | T: 276.6 | dt: 1.88 || LOSSES: BCE 0.0626 | MSE 0.0166 | JACCARD 0.9704 | 
E:   1/10000 | B: 142/625 | I:   142 | T: 278.5 | dt: 1.90 || LOSSES: BCE 0.0583 | MSE 0.0151 | JACCARD 1.0000 | 
E:   1/10000 | B: 143/625 | I:   143 | T: 280.4 | dt: 1.92 || LOSSES: BCE 0.0540 | MSE 0.0139 | JACCARD 0.9309 | 
E:   1/10000 | B: 144/625 | I:   144 | T: 282.3 | dt: 1.83 || LOSSES: BCE 0.0629 | MSE 0.0163 | JACCARD 0.9967 | 
E:   1/10000 | B: 145/625 | I:   145 | T: 284.1 | dt: 1.85 || LOSSES: BCE 0.0624 | MSE 0.0163 | JACCARD 0.9967 | 
E:   1/10000 | B: 146/625 | I:   146 | T: 285.9 | dt: 1.79 || LOSSES: BCE 0.0568 | MSE 0.0147 | JACCARD 0.9934 | 
E:   1/10000 | B: 147/625 | I:   147 | T: 287.7 | dt: 1.78 || LOSSES: BCE 0.0661 | MSE 0.0173 | JACCARD 1.0000 | 
E:   1/10000 | B: 148/625 | I:   148 | T: 289.5 | dt: 1.79 || LOSSES: BCE 0.0636 | MSE 0.0165 | JACCARD 0.9836 | 
E:   1/10000 | B: 149/625 | I:   149 | T: 291.3 | dt: 1.78 || LOSSES: BCE 0.0533 | MSE 0.0136 | JACCARD 0.9967 | 
E:   1/10000 | B: 150/625 | I:   150 | T: 293.1 | dt: 1.80 || LOSSES: BCE 0.0686 | MSE 0.0180 | JACCARD 1.0000 | 
E:   1/10000 | B: 151/625 | I:   151 | T: 294.9 | dt: 1.83 || LOSSES: BCE 0.0565 | MSE 0.0145 | JACCARD 0.9671 | 
E:   1/10000 | B: 152/625 | I:   152 | T: 296.7 | dt: 1.79 || LOSSES: BCE 0.0592 | MSE 0.0153 | JACCARD 1.0000 | 
E:   1/10000 | B: 153/625 | I:   153 | T: 298.5 | dt: 1.82 || LOSSES: BCE 0.0621 | MSE 0.0164 | JACCARD 0.9901 | 
E:   1/10000 | B: 154/625 | I:   154 | T: 300.3 | dt: 1.82 || LOSSES: BCE 0.0636 | MSE 0.0169 | JACCARD 0.9967 | 
E:   1/10000 | B: 155/625 | I:   155 | T: 302.1 | dt: 1.81 || LOSSES: BCE 0.0587 | MSE 0.0153 | JACCARD 0.9836 | 
E:   1/10000 | B: 156/625 | I:   156 | T: 304.0 | dt: 1.82 || LOSSES: BCE 0.0590 | MSE 0.0152 | JACCARD 0.9934 | 
