# TRAINING ITERATION,         BCE_LOSS,         MSE_LOSS,     JACCARD_LOSS
                 333,          0.01818,          0.00479,          0.91369
                 334,          0.01906,          0.00498,          0.99952
                 335,          0.01949,          0.00507,          0.99945
                 336,          0.01832,          0.00474,          0.99872
                 337,          0.01708,          0.00442,          0.99892
                 338,          0.02315,          0.00601,          0.99868
                 339,          0.01952,          0.00502,          0.93605
                 340,          0.01959,          0.00508,          0.99901
                 341,          0.02409,          0.00613,          0.99869
                 342,          0.01880,          0.00481,          0.96187
                 343,          0.01678,          0.00429,          0.99895
                 344,          0.01845,          0.00476,          0.98580
                 345,          0.01845,          0.00474,          0.98223
                 346,          0.02035,          0.00525,          0.99901
                 347,          0.01850,          0.00485,          0.99931
                 348,          0.01824,          0.00468,          0.99818
                 349,          0.01937,          0.00503,          0.99861
                 350,          0.01872,          0.00474,          0.94995
                 351,          0.01910,          0.00490,          0.99946
                 352,          0.01950,          0.00502,          0.99259
                 353,          0.02123,          0.00557,          0.99785
                 354,          0.01731,          0.00426,          0.99732
                 355,          0.01723,          0.00440,          0.98748
                 356,          0.02153,          0.00546,          0.98903
                 357,          0.01601,          0.00409,          0.99362
                 358,          0.01661,          0.00432,          0.93655
                 359,          0.01471,          0.00370,          0.92236
                 360,          0.01917,          0.00495,          0.99822
                 361,          0.01841,          0.00481,          0.99635
                 362,          0.01998,          0.00503,          0.99563
                 363,          0.01899,          0.00487,          0.92937
                 364,          0.01997,          0.00516,          0.99471
                 365,          0.02051,          0.00526,          0.98521
                 366,          0.01613,          0.00409,          0.99757
                 367,          0.01811,          0.00463,          0.99780
                 368,          0.02254,          0.00587,          0.99809
                 369,          0.01482,          0.00373,          0.96146
                 370,          0.01899,          0.00490,          0.99654
                 371,          0.01762,          0.00455,          0.99428
                 372,          0.02105,          0.00540,          0.99224
                 373,          0.01717,          0.00436,          0.97035
                 374,          0.01935,          0.00498,          0.99074
                 375,          0.01849,          0.00479,          0.95684
                 376,          0.02145,          0.00551,          0.98870
                 377,          0.01919,          0.00498,          0.99113
                 378,          0.01851,          0.00485,          0.96216
                 379,          0.01707,          0.00448,          0.97601
                 380,          0.01827,          0.00479,          0.99007
                 381,          0.02012,          0.00513,          0.98766
                 382,          0.02248,          0.00572,          0.99160
                 383,          0.02104,          0.00544,          0.98892
                 384,          0.01845,          0.00470,          0.98828
                 385,          0.01866,          0.00483,          0.95589
                 386,          0.01902,          0.00494,          0.98931
                 387,          0.01930,          0.00508,          0.95702
                 388,          0.01837,          0.00484,          0.99313
                 389,          0.01937,          0.00504,          0.97996
                 390,          0.01827,          0.00484,          0.98809
                 391,          0.01738,          0.00441,          0.97777
                 392,          0.01804,          0.00463,          0.98854
                 393,          0.01848,          0.00483,          0.95598
                 394,          0.01959,          0.00513,          0.95522
                 395,          0.01912,          0.00493,          0.98643
                 396,          0.02070,          0.00533,          0.98431
                 397,          0.01843,          0.00474,          0.97681
                 398,          0.01731,          0.00443,          0.95635
                 399,          0.01630,          0.00422,          0.92580
                 400,          0.02075,          0.00537,          0.98559
                 401,          0.02085,          0.00541,          0.97868
                 402,          0.01788,          0.00450,          0.97298
                 403,          0.02289,          0.00590,          0.96326
                 404,          0.02021,          0.00522,          0.96184
                 405,          0.01827,          0.00472,          0.97973
                 406,          0.01750,          0.00456,          0.91773
                 407,          0.02054,          0.00537,          0.98504
                 408,          0.01976,          0.00512,          0.97964
                 409,          0.02108,          0.00546,          0.98616
                 410,          0.01922,          0.00507,          0.97769
                 411,          0.01704,          0.00443,          0.89768
                 412,          0.01861,          0.00482,          0.97662
                 413,          0.02200,          0.00565,          0.97792
                 414,          0.01782,          0.00460,          0.92859
                 415,          0.01948,          0.00506,          0.96921
                 416,          0.02057,          0.00538,          0.95160
                 417,          0.02224,          0.00577,          0.94207
                 418,          0.01847,          0.00474,          0.95652
                 419,          0.02024,          0.00519,          0.96736
                 420,          0.01795,          0.00464,          0.93394
                 421,          0.01560,          0.00401,          0.97921
                 422,          0.01909,          0.00496,          0.97398
                 423,          0.01731,          0.00450,          0.96186
                 424,          0.01806,          0.00463,          0.95925
                 425,          0.02176,          0.00555,          0.93150
