#           MSE_LOSS,        MSE_LOSS_NULL,       MSE_LOSS_INPUT,         JACCARD_LOSS,    JACCARD_LOSS_NULL,   JACCARD_LOSS_INPUT
             0.03263,              0.03979,              0.01261,              0.37716,              0.35205,              0.14797
             0.02732,              0.03003,              0.01458,              0.33023,              0.28276,              0.20455
             0.03253,              0.03296,              0.01277,              0.39606,              0.30612,              0.17734
             0.02206,              0.02271,              0.01379,              0.30900,              0.23250,              0.19802
             0.01810,              0.01904,              0.01385,              0.29050,              0.21849,              0.21918
             0.02196,              0.02905,              0.01173,              0.38608,              0.35843,              0.22397
             0.01810,              0.02393,              0.01036,              0.34276,              0.33447,              0.20152
             0.01926,              0.02612,              0.00763,              0.35714,              0.37943,              0.13410
             0.01864,              0.02563,              0.00900,              0.40239,              0.40541,              0.18261
             0.02135,              0.02417,              0.00798,              0.43511,              0.38077,              0.19249
             0.01711,              0.01587,              0.00947,              0.35636,              0.25391,              0.18876
             0.01566,              0.01514,              0.01007,              0.33852,              0.25410,              0.22530
             0.01993,              0.01953,              0.00905,              0.43304,              0.37736,              0.22078
             0.06414,              0.06567,              0.00594,              0.73438,              0.71925,              0.21472
             0.02786,              0.03467,              0.00766,              0.35648,              0.33810,              0.10497
             0.01394,              0.01538,              0.00806,              0.18274,              0.16279,              0.12145
             0.00000,              0.00000,              0.00000,              0.00000,              0.00000,              0.00000
             0.00269,              0.00269,              0.00000,              1.00000,              1.00000,              0.00000
             0.01572,              0.01416,              0.00187,              1.00000,              0.84058,              1.00000
             0.01570,              0.01636,              0.00205,              0.55147,              0.49265,              0.14286
             0.01396,              0.01318,              0.00402,              0.40741,              0.28571,              0.18248
             0.01556,              0.01440,              0.00500,              0.31020,              0.23984,              0.13089
             0.01848,              0.01758,              0.00642,              0.31908,              0.23841,              0.12400
             0.02363,              0.02393,              0.01150,              0.32184,              0.27920,              0.21865
             0.02482,              0.02466,              0.01466,              0.34278,              0.27596,              0.23952
             0.01974,              0.02637,              0.01343,              0.33123,              0.31304,              0.21981
             0.01433,              0.02344,              0.00951,              0.32031,              0.34657,              0.17921
             0.01415,              0.02026,              0.00616,              0.40556,              0.42564,              0.15385
             0.00626,              0.01221,              0.00301,              0.35577,              0.42735,              0.14286
             0.00720,              0.01416,              0.00253,              0.83333,              0.86567,              0.19403
             0.00492,              0.00708,              0.00173,              1.00000,              1.00000,              1.00000
             0.01399,              0.01367,              0.00124,              0.86842,              0.73684,              0.50000
             0.01860,              0.02002,              0.00217,              0.55696,              0.51899,              0.12821
             0.01892,              0.01855,              0.00447,              0.39574,              0.32479,              0.13043
             0.01884,              0.02051,              0.00573,              0.30769,              0.28094,              0.09917
             0.00337,              0.00708,              0.00206,              0.13333,              0.19333,              0.08397
             0.00146,              0.00122,              0.00125,              0.04459,              0.03226,              0.02614
             0.00401,              0.00293,              0.00108,              0.09412,              0.07186,              0.02532
             0.01387,              0.01392,              0.00252,              0.29545,              0.26027,              0.05917
             0.01571,              0.02148,              0.00405,              0.28571,              0.32117,              0.08772
             0.01989,              0.02222,              0.00526,              0.32886,              0.31271,              0.10985
             0.02064,              0.02246,              0.00449,              0.32459,              0.30872,              0.06615
             0.02489,              0.02856,              0.00548,              0.41806,              0.39262,              0.10370
             0.01404,              0.01489,              0.00503,              0.32203,              0.25847,              0.10268
             0.01214,              0.01294,              0.00519,              0.32353,              0.26500,              0.12438
             0.01387,              0.01733,              0.00530,              0.50932,              0.44375,              0.16364
             0.01210,              0.01538,              0.00375,              0.72000,              0.64286,              0.17172
             0.00319,              0.00562,              0.00495,              0.47368,              0.46939,              0.65957
             0.00823,              0.00708,              0.00197,              0.58209,              0.46032,              0.30000
             0.00634,              0.00708,              0.00305,              0.44578,              0.34940,              0.26866
             0.00858,              0.01001,              0.00207,              0.44444,              0.42268,              0.13580
             0.00849,              0.01001,              0.00333,              0.44898,              0.41000,              0.20482
             0.00977,              0.00757,              0.00312,              0.42202,              0.29524,              0.17647
             0.01516,              0.01367,              0.00485,              0.51333,              0.38889,              0.30000
             0.01802,              0.01636,              0.00748,              0.27326,              0.19822,              0.13542
             0.02957,              0.03027,              0.00769,              0.30787,              0.28246,              0.09456
             0.03975,              0.04419,              0.01141,              0.34875,              0.32264,              0.12867
             0.03844,              0.03955,              0.01624,              0.31688,              0.26129,              0.16727
