#           MSE_LOSS,        MSE_LOSS_NULL,       MSE_LOSS_INPUT,         JACCARD_LOSS,    JACCARD_LOSS_NULL,   JACCARD_LOSS_INPUT
             0.00396,              0.00624,              0.00274,              0.07656,              0.09377,              0.05293
             0.00362,              0.00908,              0.00553,              0.07243,              0.12977,              0.10336
             0.00344,              0.00669,              0.00367,              0.07238,              0.10820,              0.07547
             0.00477,              0.00890,              0.00512,              0.06547,              0.08952,              0.06448
             0.00365,              0.00878,              0.00468,              0.07359,              0.13311,              0.09530
             0.00379,              0.00788,              0.00446,              0.06160,              0.09526,              0.07241
             0.00517,              0.00951,              0.00482,              0.05986,              0.08223,              0.05410
             0.00448,              0.00808,              0.00371,              0.06566,              0.08726,              0.05316
             0.00102,              0.00240,              0.00124,              0.04122,              0.07397,              0.05551
             0.00450,              0.00948,              0.00547,              0.06518,              0.09614,              0.07255
             0.00436,              0.00786,              0.00341,              0.07650,              0.10599,              0.05707
             0.00292,              0.00519,              0.00330,              0.05527,              0.07336,              0.05855
             0.00458,              0.00721,              0.00317,              0.06668,              0.08172,              0.04507
             0.00307,              0.00529,              0.00230,              0.07359,              0.09211,              0.05274
             0.00458,              0.01022,              0.00665,              0.06562,              0.10389,              0.08888
             0.00405,              0.00704,              0.00336,              0.08082,              0.10146,              0.06775
             0.00485,              0.00917,              0.00504,              0.07195,              0.09917,              0.07260
             0.00229,              0.00457,              0.00244,              0.09592,              0.14920,              0.10900
             0.00246,              0.00549,              0.00307,              0.04841,              0.07838,              0.05686
             0.00285,              0.00799,              0.00488,              0.04680,              0.09204,              0.07300
             0.00158,              0.00272,              0.00130,              0.03737,              0.04929,              0.03163
             0.00412,              0.00929,              0.00557,              0.06624,              0.10762,              0.08805
             0.00385,              0.00748,              0.00407,              0.08882,              0.12576,              0.09303
             0.00380,              0.00784,              0.00465,              0.05820,              0.08405,              0.06430
             0.00151,              0.00353,              0.00169,              0.03793,              0.06184,              0.03989
             0.00556,              0.00916,              0.00438,              0.06854,              0.08531,              0.05534
             0.00081,              0.00253,              0.00181,              0.07265,              0.14981,              0.13536
             0.00368,              0.00640,              0.00341,              0.08101,              0.10575,              0.07419
             0.00419,              0.00801,              0.00373,              0.05126,              0.07359,              0.04398
             0.00419,              0.00915,              0.00509,              0.06570,              0.10715,              0.07832
             0.00435,              0.00756,              0.00362,              0.07541,              0.09872,              0.06291
             0.00360,              0.00684,              0.00369,              0.07544,              0.10260,              0.07498
             0.00162,              0.00283,              0.00122,              0.07624,              0.10995,              0.07117
             0.00354,              0.00598,              0.00276,              0.06266,              0.07941,              0.04811
             0.00369,              0.00622,              0.00320,              0.09451,              0.12353,              0.08835
             0.00611,              0.00901,              0.00432,              0.05721,              0.06695,              0.03756
             0.00361,              0.00711,              0.00379,              0.11067,              0.15222,              0.10985
             0.00518,              0.00947,              0.00446,              0.09611,              0.12930,              0.08183
             0.00590,              0.00987,              0.00397,              0.10087,              0.12619,              0.06762
             0.00453,              0.00921,              0.00518,              0.07096,              0.10743,              0.07682
             0.00261,              0.00651,              0.00405,              0.06171,              0.11055,              0.08845
             0.00283,              0.00592,              0.00350,              0.05619,              0.08383,              0.06728
             0.00597,              0.01018,              0.00454,              0.08296,              0.10587,              0.06295
             0.00536,              0.00732,              0.00304,              0.06037,              0.06658,              0.03438
             0.00426,              0.00771,              0.00416,              0.06984,              0.09394,              0.06463
             0.00463,              0.00951,              0.00542,              0.09509,              0.14462,              0.10881
             0.00314,              0.00771,              0.00486,              0.06509,              0.10983,              0.09098
             0.00400,              0.00678,              0.00262,              0.11264,              0.14383,              0.07487
             0.00327,              0.00664,              0.00318,              0.07519,              0.11301,              0.07447
             0.00132,              0.00382,              0.00247,              0.03742,              0.07164,              0.05653
