#           MSE_LOSS,        MSE_LOSS_NULL,       MSE_LOSS_INPUT,         JACCARD_LOSS,    JACCARD_LOSS_NULL,   JACCARD_LOSS_INPUT
             0.00822,              0.01733,              0.01319,              0.14236,              0.23432,              0.20134
             0.00837,              0.01611,              0.01405,              0.14828,              0.21854,              0.21667
             0.00837,              0.01978,              0.01307,              0.16071,              0.26384,              0.21477
             0.01068,              0.02173,              0.01530,              0.19504,              0.28990,              0.24407
             0.00886,              0.02539,              0.02023,              0.16176,              0.33121,              0.30820
             0.01041,              0.02466,              0.02004,              0.19118,              0.32899,              0.32770
             0.00887,              0.02100,              0.01718,              0.17490,              0.29352,              0.27778
             0.00922,              0.01904,              0.01579,              0.19028,              0.27758,              0.27473
             0.00972,              0.01685,              0.01252,              0.20902,              0.25091,              0.22814
             0.01067,              0.02002,              0.01163,              0.22041,              0.30258,              0.21012
             0.01093,              0.02124,              0.01752,              0.23849,              0.32584,              0.32432
             0.00666,              0.01221,              0.00747,              0.11041,              0.15528,              0.11182
             0.00542,              0.01099,              0.00738,              0.10000,              0.14196,              0.12579
             0.00452,              0.00879,              0.00843,              0.08725,              0.11538,              0.14058
             0.00612,              0.00854,              0.00596,              0.11765,              0.11513,              0.11513
             0.00967,              0.01709,              0.00726,              0.18750,              0.23411,              0.13946
             0.00393,              0.02026,              0.01868,              0.09692,              0.28136,              0.28425
             0.00734,              0.02271,              0.01864,              0.17273,              0.32746,              0.29348
             0.00685,              0.01978,              0.01272,              0.17085,              0.32661,              0.23013
             0.00555,              0.02173,              0.01754,              0.15976,              0.37872,              0.34978
             0.00802,              0.02588,              0.01659,              0.25658,              0.49074,              0.35714
             0.00334,              0.02319,              0.02060,              0.14783,              0.49738,              0.48387
             0.00227,              0.01953,              0.01681,              0.13208,              0.47059,              0.42169
             0.00289,              0.01147,              0.00798,              0.16162,              0.36154,              0.28000
             0.00162,              0.00684,              0.00573,              0.10989,              0.25000,              0.22018
