----------------------------------------------------------------------
RUN TRAINING:

E:   1/10000 | B:  81/625 | I:    81 | T: 165.8 | dt: 1.77 || LOSSES: BCE 0.0426 | MSE 0.0114 | JACCARD 1.0000 | 
E:   1/10000 | B:  82/625 | I:    82 | T: 167.6 | dt: 1.79 || LOSSES: BCE 0.0378 | MSE 0.0101 | JACCARD 0.9967 | 
E:   1/10000 | B:  83/625 | I:    83 | T: 169.4 | dt: 1.80 || LOSSES: BCE 0.0396 | MSE 0.0105 | JACCARD 1.0000 | 
E:   1/10000 | B:  84/625 | I:    84 | T: 171.2 | dt: 1.78 || LOSSES: BCE 0.0345 | MSE 0.0090 | JACCARD 0.9901 | 
E:   1/10000 | B:  85/625 | I:    85 | T: 173.0 | dt: 1.81 || LOSSES: BCE 0.0391 | MSE 0.0105 | JACCARD 0.9934 | 
E:   1/10000 | B:  86/625 | I:    86 | T: 174.8 | dt: 1.79 || LOSSES: BCE 0.0440 | MSE 0.0119 | JACCARD 0.9901 | 
E:   1/10000 | B:  87/625 | I:    87 | T: 176.5 | dt: 1.78 || LOSSES: BCE 0.0438 | MSE 0.0115 | JACCARD 0.9934 | 
E:   1/10000 | B:  88/625 | I:    88 | T: 178.3 | dt: 1.79 || LOSSES: BCE 0.0399 | MSE 0.0104 | JACCARD 1.0000 | 
E:   1/10000 | B:  89/625 | I:    89 | T: 180.1 | dt: 1.80 || LOSSES: BCE 0.0410 | MSE 0.0109 | JACCARD 1.0000 | 
E:   1/10000 | B:  90/625 | I:    90 | T: 181.9 | dt: 1.80 || LOSSES: BCE 0.0444 | MSE 0.0120 | JACCARD 1.0000 | 
E:   1/10000 | B:  91/625 | I:    91 | T: 183.7 | dt: 1.76 || LOSSES: BCE 0.0412 | MSE 0.0111 | JACCARD 1.0000 | 
E:   1/10000 | B:  92/625 | I:    92 | T: 185.5 | dt: 1.78 || LOSSES: BCE 0.0384 | MSE 0.0101 | JACCARD 0.9967 | 
E:   1/10000 | B:  93/625 | I:    93 | T: 187.3 | dt: 1.80 || LOSSES: BCE 0.0407 | MSE 0.0109 | JACCARD 0.9770 | 
E:   1/10000 | B:  94/625 | I:    94 | T: 189.1 | dt: 1.78 || LOSSES: BCE 0.0459 | MSE 0.0125 | JACCARD 1.0000 | 
E:   1/10000 | B:  95/625 | I:    95 | T: 190.8 | dt: 1.76 || LOSSES: BCE 0.0364 | MSE 0.0096 | JACCARD 0.9572 | 
E:   1/10000 | B:  96/625 | I:    96 | T: 192.6 | dt: 1.77 || LOSSES: BCE 0.0431 | MSE 0.0114 | JACCARD 0.9967 | 
E:   1/10000 | B:  97/625 | I:    97 | T: 194.4 | dt: 1.77 || LOSSES: BCE 0.0393 | MSE 0.0105 | JACCARD 1.0000 | 
E:   1/10000 | B:  98/625 | I:    98 | T: 196.2 | dt: 1.77 || LOSSES: BCE 0.0429 | MSE 0.0115 | JACCARD 0.9934 | 
E:   1/10000 | B:  99/625 | I:    99 | T: 197.9 | dt: 1.76 || LOSSES: BCE 0.0394 | MSE 0.0105 | JACCARD 0.9836 | 
E:   1/10000 | B: 100/625 | I:   100 | T: 199.7 | dt: 1.78 || LOSSES: BCE 0.0400 | MSE 0.0109 | JACCARD 1.0000 | 
E:   1/10000 | B: 101/625 | I:   101 | T: 201.5 | dt: 1.77 || LOSSES: BCE 0.0379 | MSE 0.0101 | JACCARD 1.0000 | 
E:   1/10000 | B: 102/625 | I:   102 | T: 203.3 | dt: 1.77 || LOSSES: BCE 0.0410 | MSE 0.0108 | JACCARD 0.9868 | 
E:   1/10000 | B: 103/625 | I:   103 | T: 205.0 | dt: 1.76 || LOSSES: BCE 0.0361 | MSE 0.0096 | JACCARD 0.9507 | 
E:   1/10000 | B: 104/625 | I:   104 | T: 206.8 | dt: 1.77 || LOSSES: BCE 0.0436 | MSE 0.0117 | JACCARD 0.9967 | 
E:   1/10000 | B: 105/625 | I:   105 | T: 208.6 | dt: 1.79 || LOSSES: BCE 0.0411 | MSE 0.0111 | JACCARD 1.0000 | 
E:   1/10000 | B: 106/625 | I:   106 | T: 210.4 | dt: 1.79 || LOSSES: BCE 0.0360 | MSE 0.0094 | JACCARD 0.9967 | 
E:   1/10000 | B: 107/625 | I:   107 | T: 212.1 | dt: 1.77 || LOSSES: BCE 0.0379 | MSE 0.0103 | JACCARD 0.9836 | 
E:   1/10000 | B: 108/625 | I:   108 | T: 213.9 | dt: 1.78 || LOSSES: BCE 0.0434 | MSE 0.0117 | JACCARD 0.9934 | 
E:   1/10000 | B: 109/625 | I:   109 | T: 215.7 | dt: 1.77 || LOSSES: BCE 0.0342 | MSE 0.0090 | JACCARD 1.0000 | 
E:   1/10000 | B: 110/625 | I:   110 | T: 217.5 | dt: 1.86 || LOSSES: BCE 0.0336 | MSE 0.0089 | JACCARD 0.9934 | 
E:   1/10000 | B: 111/625 | I:   111 | T: 219.5 | dt: 1.92 || LOSSES: BCE 0.0366 | MSE 0.0096 | JACCARD 0.9934 | 
E:   1/10000 | B: 112/625 | I:   112 | T: 221.2 | dt: 1.77 || LOSSES: BCE 0.0306 | MSE 0.0081 | JACCARD 0.9868 | 
E:   1/10000 | B: 113/625 | I:   113 | T: 223.0 | dt: 1.78 || LOSSES: BCE 0.0324 | MSE 0.0086 | JACCARD 0.9770 | 
E:   1/10000 | B: 114/625 | I:   114 | T: 224.8 | dt: 1.79 || LOSSES: BCE 0.0449 | MSE 0.0120 | JACCARD 1.0000 | 
E:   1/10000 | B: 115/625 | I:   115 | T: 226.6 | dt: 1.79 || LOSSES: BCE 0.0354 | MSE 0.0093 | JACCARD 0.9901 | 
E:   1/10000 | B: 116/625 | I:   116 | T: 228.4 | dt: 1.79 || LOSSES: BCE 0.0408 | MSE 0.0108 | JACCARD 1.0000 | 
E:   1/10000 | B: 117/625 | I:   117 | T: 230.2 | dt: 1.80 || LOSSES: BCE 0.0330 | MSE 0.0086 | JACCARD 0.9539 | 
E:   1/10000 | B: 118/625 | I:   118 | T: 232.0 | dt: 1.78 || LOSSES: BCE 0.0351 | MSE 0.0094 | JACCARD 0.9770 | 
E:   1/10000 | B: 119/625 | I:   119 | T: 233.8 | dt: 1.78 || LOSSES: BCE 0.0400 | MSE 0.0108 | JACCARD 1.0000 | 
E:   1/10000 | B: 120/625 | I:   120 | T: 235.5 | dt: 1.76 || LOSSES: BCE 0.0379 | MSE 0.0100 | JACCARD 0.9868 | 
E:   1/10000 | B: 121/625 | I:   121 | T: 237.4 | dt: 1.84 || LOSSES: BCE 0.0396 | MSE 0.0104 | JACCARD 1.0000 | 
E:   1/10000 | B: 122/625 | I:   122 | T: 239.2 | dt: 1.78 || LOSSES: BCE 0.0385 | MSE 0.0103 | JACCARD 0.9868 | 
E:   1/10000 | B: 123/625 | I:   123 | T: 240.9 | dt: 1.78 || LOSSES: BCE 0.0370 | MSE 0.0099 | JACCARD 0.9704 | 
E:   1/10000 | B: 124/625 | I:   124 | T: 242.7 | dt: 1.77 || LOSSES: BCE 0.0402 | MSE 0.0107 | JACCARD 1.0000 | 
E:   1/10000 | B: 125/625 | I:   125 | T: 244.5 | dt: 1.77 || LOSSES: BCE 0.0408 | MSE 0.0110 | JACCARD 0.9770 | 
E:   1/10000 | B: 126/625 | I:   126 | T: 246.3 | dt: 1.79 || LOSSES: BCE 0.0360 | MSE 0.0095 | JACCARD 1.0000 | 
E:   1/10000 | B: 127/625 | I:   127 | T: 248.0 | dt: 1.78 || LOSSES: BCE 0.0434 | MSE 0.0118 | JACCARD 1.0000 | 
E:   1/10000 | B: 128/625 | I:   128 | T: 249.8 | dt: 1.78 || LOSSES: BCE 0.0402 | MSE 0.0107 | JACCARD 1.0000 | 
E:   1/10000 | B: 129/625 | I:   129 | T: 251.6 | dt: 1.77 || LOSSES: BCE 0.0326 | MSE 0.0086 | JACCARD 1.0000 | 
E:   1/10000 | B: 130/625 | I:   130 | T: 253.4 | dt: 1.77 || LOSSES: BCE 0.0393 | MSE 0.0104 | JACCARD 0.9967 | 
E:   1/10000 | B: 131/625 | I:   131 | T: 255.1 | dt: 1.77 || LOSSES: BCE 0.0348 | MSE 0.0093 | JACCARD 0.9934 | 
E:   1/10000 | B: 132/625 | I:   132 | T: 256.9 | dt: 1.76 || LOSSES: BCE 0.0353 | MSE 0.0093 | JACCARD 1.0000 | 
E:   1/10000 | B: 133/625 | I:   133 | T: 258.7 | dt: 1.77 || LOSSES: BCE 0.0402 | MSE 0.0106 | JACCARD 0.9967 | 
E:   1/10000 | B: 134/625 | I:   134 | T: 260.4 | dt: 1.77 || LOSSES: BCE 0.0346 | MSE 0.0091 | JACCARD 0.9901 | 
E:   1/10000 | B: 135/625 | I:   135 | T: 262.2 | dt: 1.78 || LOSSES: BCE 0.0333 | MSE 0.0087 | JACCARD 0.9737 | 
E:   1/10000 | B: 136/625 | I:   136 | T: 264.0 | dt: 1.78 || LOSSES: BCE 0.0313 | MSE 0.0082 | JACCARD 0.9901 | 
E:   1/10000 | B: 137/625 | I:   137 | T: 265.8 | dt: 1.77 || LOSSES: BCE 0.0318 | MSE 0.0085 | JACCARD 1.0000 | 
E:   1/10000 | B: 138/625 | I:   138 | T: 267.5 | dt: 1.77 || LOSSES: BCE 0.0383 | MSE 0.0102 | JACCARD 1.0000 | 
E:   1/10000 | B: 139/625 | I:   139 | T: 269.3 | dt: 1.77 || LOSSES: BCE 0.0330 | MSE 0.0088 | JACCARD 0.9967 | 
E:   1/10000 | B: 140/625 | I:   140 | T: 271.1 | dt: 1.78 || LOSSES: BCE 0.0320 | MSE 0.0084 | JACCARD 1.0000 | 
E:   1/10000 | B: 141/625 | I:   141 | T: 272.9 | dt: 1.77 || LOSSES: BCE 0.0342 | MSE 0.0092 | JACCARD 0.9836 | 
E:   1/10000 | B: 142/625 | I:   142 | T: 274.7 | dt: 1.79 || LOSSES: BCE 0.0331 | MSE 0.0088 | JACCARD 1.0000 | 
E:   1/10000 | B: 143/625 | I:   143 | T: 276.4 | dt: 1.78 || LOSSES: BCE 0.0349 | MSE 0.0095 | JACCARD 0.9539 | 
E:   1/10000 | B: 144/625 | I:   144 | T: 278.2 | dt: 1.78 || LOSSES: BCE 0.0368 | MSE 0.0096 | JACCARD 0.9737 | 
E:   1/10000 | B: 145/625 | I:   145 | T: 280.0 | dt: 1.79 || LOSSES: BCE 0.0360 | MSE 0.0094 | JACCARD 0.9638 | 
E:   1/10000 | B: 146/625 | I:   146 | T: 281.8 | dt: 1.78 || LOSSES: BCE 0.0357 | MSE 0.0092 | JACCARD 0.9408 | 
E:   1/10000 | B: 147/625 | I:   147 | T: 283.6 | dt: 1.80 || LOSSES: BCE 0.0394 | MSE 0.0106 | JACCARD 0.9671 | 
E:   1/10000 | B: 148/625 | I:   148 | T: 285.4 | dt: 1.78 || LOSSES: BCE 0.0350 | MSE 0.0093 | JACCARD 0.9967 | 
E:   1/10000 | B: 149/625 | I:   149 | T: 287.2 | dt: 1.79 || LOSSES: BCE 0.0407 | MSE 0.0110 | JACCARD 1.0000 | 
E:   1/10000 | B: 150/625 | I:   150 | T: 288.9 | dt: 1.78 || LOSSES: BCE 0.0387 | MSE 0.0103 | JACCARD 1.0000 | 
